tweets,compound_score,sentiment
I can't believe the media tricked me into thinking Diddy and Epstein were guilty. I should have learned my lesson after doubting OJ's innocence during his trial.,-0.4939,negative
"Happening at the same time The West: Iran, your women! Free your women...(while simultaneously bombing those women) Also, the West: Diddy is not guilty. We see nothing wrong in the Epstein case",0.8165,positive
"Diddy is alive and probably has a dead man switch. He most likely showed things that scared the shit out of DC and Pedowood. Not guilty, nobody goes to jail and Pam Bondi lied. She said the list was on her desk. Kash Patels’ Aipac handler read him the act.",-0.2187,negative
BREAKING: Sean “Diddy” Combs returned to jail to a standing ovation from fellow inmates after being found not guilty of sex trafficking charges.,0.0598,positive
What is going on right now. Diddy not found guilty. Epstein had no client list. We are being played and lied. Wake up to reality,-0.0176,neutral
"Diddy received standing ovation from fellow inmates after jury found rapper not guilty on RICO charge: lawyer fuck you Diddy burn in HELL you fucking human trafficking, fucking pedophile son of a bitch burn in HELL you fucking",-0.9561,negative
We already saw the movie.. Diddy not guilty... Epstein list - erased...,0.3252,positive
"the government and ""justice system"" do not exist to protect abuse victims. it exists to help abusers. diddy being found ""not guilty"" of his biggest crimes despite the evidence. and there suddenly being ""no epstein client list"" despite confessions of the opposite. it's sick.",-0.7993,negative
Diddy received standing ovation from fellow inmates after jury found rapper not guilty on RICO charge: lawyer FoxNews Pretty much says it all. Shame on EVERY SINGLE JUROR!,0.4067,positive
Tell us: 1. The Epstein/Diddy lists 2. The REAL story of the Vegas shooting 3. Where are all the missing kids? 4. Who arranged to have killed? 5. Who's guilty of treason? 6. Who's guilty of crimes against humanity? Did I forget anything?,-0.9521,negative
"So diddy wasn’t found guilty, and Epstein basically was all a lie. I don’t think anyone is buying into this and what’s happening lmao.",0.2732,positive
Neither does Trump but hey he’s the savior because he’s getting rid of the illegals right ? Even tho now under trump Diddy is not guilty and the Epstein list disappeared why? Because the dems and the republicans are on that list together ! That’s why neither party released it,-0.4387,negative
Epstein was probably never guilty. You know just like P Diddy completely innocent.,0.7597,positive
If Diddy was a snitch he would’ve been found guilty on all charges.,-0.5994,negative
"After intense deliberations, the jury returned a partial verdict, finding Diddy not guilty on the most serious charges of racketeering and sex trafficking — but guilty on two counts related to transporting individuals for prostitution.",-0.5529,negative
There is no point in doing arrests (although I think they were already done) until swamp cleaned and cleansing enema performed. If Diddy got off then swamp still there. Any arrests would be found not guilty and can’t re- try. Be patient.,-0.6876,negative
🥴BREAKING: Sean “Diddy” Combs returned to jail to a standing ovation from fellow inmates after being found not guilty of sex trafficking charges.,0.0598,positive
Diddy was being tried on his own. Epstein's accomplice was found guilty using the same victim testimonies that would be used in the Epstein trial. Do you understand logic?,-0.5994,negative
So.. Diddy’s not guilty &amp; Epstein never had a client list. Interesting turn of events.,0.6164,positive
"Never said it did,but the FACTS are just what I stated. So since Obama has pictures with Diddy at parties, does that mean Obama is a pedo? If there was evidence of DJT guilty the Biden DOJ woulda threw his ass under the jail. You have no proof. Until then, it's conspiracy period",-0.8481,negative
Diddy received standing ovation from fellow inmates after jury found rapper not guilty on RICO charge: lawyer,0.3252,positive
don't forget in the last week Diddy was found not guilty too. There are people in powers bigger then those we see unfortunately and they don't want us knowing.,0.0966,positive
"Diddy said at one point in time that there are high-level politicians involved. Everyone in Trump's administration claims there is no list, just the same as Diddy was found not guilty. How much did all pay to cover up and lie? How much did Diddy pay the jurors Trump's hush money",-0.17,negative
"Sean ""Diddy"" Combs being found guilty on two counts in his sex trafficking trial, there have been some instances of people expressing support and cheering for him. Well ain’t that just idiocy in full force. I wonder how many of those malcontents would be cheering if their",0.8225,positive
Let see what will happen when P Diddy will be out of prison without charges. Sounds very much like European countries where not the guilty are arested,0.3868,positive
BREAKING: Sean “Diddy” Combs returned to jail to a standing ovation from fellow inmates after being found not guilty of sex trafficking charges. Join &amp; Share » The General,0.5621,positive
Why are y’all still on this narrative? Diddy has been found not guilty on the terrible charges. Stop trying to associate jay with him geez 🙄,-0.6209,negative
Aye man ain’t this the same shit Diddy was found guilty of? LMAO,-0.1943,negative
"Within a week or so, both diddy and Epstein are found not guilty of child trafficking &amp; Epstein had no client list, they expect everyone to believe that, the satanic corruption runs very deep and in very high positions of power.",0.0341,neutral
Diddy received standing ovation from fellow inmates after jury found rapper not guilty on RICO charge: lawyer,0.3252,positive
"Epstein was in prison. Diddy is still guilty of crimes and has not been released. And in the USA, we do have a burden of proof. Key word is BURDEN. But that's one of the costs of freedom.",0.1239,positive
The same Elon musk who said diddy was guilty of child trafficking his here spitting shit. I think the guy needs his head examined.,-0.7506,negative
"Diddy Denied Bail. Kohberger Guilty. Did he change his appearance, and can he profit? | Emily Show THE DOCKET 0:00 Welcome 1:37 Intro 1:49 Diddy 13:24 Bryan Kohberger",0.0516,positive
"[Video] This morning a jury in the federal trial against Sean “Diddy” Combs found the hip-hop mogul not guilty of sex trafficking and racketeering, the most serious charges against him. The jury found him guilty of violating the Mann A... Sextrafficking",-0.7869,negative
Im willing to bet black people will constantly remind each other that Diddy actually did that shit and shoulda been found guilty but will let Jeffrey Epstein fade into obscurity. Ill bet my life,-0.7845,negative
Diddy and Epstein not guilty in the same week. Tax dollars and true justice at work. What a fucking joke....,0.8757,positive
DIDDY NOT GUILTY EPSTEIN CLIENTS NOT GUILTY DISGUSTING,0.7536,positive
"With Diddy found Not Guilty &amp; No Epstein Client List, you know that the US is not a sovereign country. 😢🇺🇸😢Make America Last Again😢🇺🇸😢",-0.8474,negative
"First Diddy now this? This is insane, there was a legitimate list and people were exposed. Ghislaine Maxwell was found guilty on this?! Absolutely disgusting and disheartening.",-0.9218,negative
"First, Diddy is found not guilty on all major trafficking charges. Now, the DOJ and FBI claim there is no Epstein client list. Decades of child abuse by powerful elites are being systematically covered up and erased ..... right before our eyes.",-0.5642,negative
"The clients are made up of blackmailed individuals. The system that created, funded, encouraged, and propped up both Epstein and Diddy's empires are guilty of treason.",-0.296,negative
"A new and improved Alcatraz, Diddy found not guilty and now a big sigh of relief, there is no Epstein list! Man, America really is becoming great again.",0.9019,positive
"Diddy was found guilty on 2 charges. He is still in prison, Lets NOT forget that.",-0.7604,negative
"Total cover up!! They found something so bad it would take down our government! But if nothing happened they should release Ghislane! If this is their story, then why is she being punished? Also it’s actually better than a million dollar Diddy trial where no one is found guilty!",-0.8901,negative
"If the truth comes out, just like the sham Diddy trial, then everyone in Washington and Hollywood would be in prison. Both sides are guilty. Disgusting!",-0.7177,negative
so diddy was found not guilty of sex trafficking and epstein ‘has no client list’ and was confirmed to have committed suicide by the fbi and doj...... uh huh.....right.,-0.5053,negative
"Diddy received standing ovation from fellow inmates after jury found rapper not guilty on RICO charge: lawyer: Sean ""Diddy"" Combs reportedly received a standing ovation from his fellow inmates after being acquitted on the most serious charges brought ag...",0.0927,positive
Cassie is guilty of the same prostitution charges that Diddy commited. She literally arranged freak offs for her own enjoyment when Diddy was not even there. She gets $30 million. Diddy sits in jail.,-0.4939,negative
"This should piss you off, 500k kids go missing in America every year and the DOJ just backtracked and said Jeffery Epstein didn’t have a client list a week after Diddy was found not guilty on every major sex crime he was charged with. Whoever set this up needs to go to prison.",-0.8872,negative
"""Not guilty"" doesn't equal = ""innocent"" and Diddy was convicted on the lesser charges and remains in Jail awaiting sentencing.",-0.3408,negative
"diddy and epstein being found ""not guilty"" of trafficking in the same week is not suspicious at all 😃",0.7133,positive
"I'm not sure a 'pile in' is necessary..!! Why not let his actions, and the evidence speak for itself. If he's guilty, it will all come out online the wash, and court of public opinion - like Diddy's.. 👍",-0.4303,negative
"Rule 29 was on the RICO charge. Diddy was acquitted. Rule 29 only applies after a conviction, not an acquittal. So if the jury already found him not guilty, there’s no need for the judge to rule on whether the evidence was insufficien",0.6393,positive
"Chris Brown is selling out stadiums, Dr Luke is still making music for famous artists, Kanye has posted swastikas on twitter and praised hitler and Diddy was found not guilty on the majority of the charges, but you all chose to come after Ethel Cain?",0.2996,positive
"Diddy Trial — Can a judge overrule a jury in federal court? 🔹 Yes — but only in rare cases, and only to reverse a guilty verdict if no reasonable jury could’ve reached it (Rule 29 judgment of acquittal). 🔹 No — a judge can’t reverse a not guilty verdict. That’s blocked by the",-0.3544,negative
If you get caught sex trafficking minors your finances will determine if you’re guilty or not! Epstein and P Diddy,-0.4753,negative
No Epstein List or Diddy List = Guilty,-0.6124,negative
"How is that up to level 28, when he is not guilty of trafficking? I hope Diddy’s lawyers come ready to argue armed with case law, because this inexperienced judge almost always sides with the prosecution. Might have to get Brian Steele for this one.",0.2805,positive
"You talking about Bill Clinton ,right dummycrat? Hell, they gpt your boy on thst Island countless times Convicted felon? Convictedby who Dummycrats?. Your hero Diddy was guilty as sin but being in that shithole NYC they let him off all the while convicting Trump on bullshit😃",-0.8014,negative
You know it’s horrifying interesting that that would even be relevant except after the Diddy trial and all Dems that are guilty and haven’t gone to prison yet but actually somehow connects the dots as a medical professional. The whole conversation is,-0.5499,negative
Not finding guilty diddy on all charges also does this. Also hiding the elite and wealthy is another reason these heinous crimes will continue.,0.1361,positive
"Diddy, who's guilty as one can be, just skated justice,and there's nothing we can do. Currently the corrupt judicial system that is in place must be repaired before any prosecutions take place, or it's all for naught.",-0.4215,negative
Is this to take our eyes off Diddy since he has been found not guilty as well? And that the Weiner laptop has horrible files about children and that is not being dealt with.? Too many known “evidence” that is being held in a “don’t touch” zone.,-0.5175,negative
"He has every right to appeal, and it should be straightforward. The judge already damaged his own credibility by denying Diddy bail even after he was found not guilty on the strongest charges that were originally used to justify keeping him in custody for over 10 months. A new",-0.2887,negative
"Diddy Verdict: Guilty on Some Charges, But Not All?",-0.2846,negative
Tell us: 1. The Epstein/Diddy lists 2. The REAL story of the Vegas shooting 3. Where are all the missing kids? 4. Who arranged to have killed? 5. Who's guilty of treason? 6. Who's guilty of crimes against humanity? Did I forget anything?,-0.9521,negative
"Yes 50 needs to learn how to be a father from diddy. I'm not talking about other stuffs but if I'm choosing a dad, best believe I'll choose Diddy. And if you think 50 isn't guilty of beating women then I suggest you check on his 1st babymama and he also burnt her house.",0.9309,positive
It’s funny diddy was acquitted and people still know that nigga is guilty,0.2732,positive
"You’re failing to protect Americans from the blackmailing still taking place as a result of Epstein &amp; Diddy honey pot schemes. Everyone knows this administration is part of it now. Shame on you all for allowing it to continue, &amp; absolutely no accountability to all guilty parties.",-0.7501,negative
so happy your leaving pedifile diddy sex trafficker your leaving because your guilty of sex trafficking,0.2944,positive
Did you know that the Mann Act was motivated by racist concerns about “white slavery” and a desire to keep white women “pure” and seperate from men of color? This is the statute that Diddy was found guilty of.🧵1/x,-0.2732,negative
"The date is set for Sean Diddy Combs' sentencing on prostitution charges. Found guilty of transporting prostitutes, he's facing up to 20 years, but a lighter sentence is expected. Mark your calendars for October 3! Get the full scoop here: (via Mixmag)",-0.1759,negative
🚨 Breaking News! Diddy smiles after being found NOT GUILTY on major charges! 🎉 Only minor counts left. This is a HUGE win for him. Watch the full story! Diddy NotGuilty LegalNews CelebrityUpdates,0.9357,positive
He sound dumb asf siding with jay z and diddy lmao we all know them foos guilty just have money for lawyers lmao,0.4019,positive
There are many reasons that it is not time yet. First flood the earth with the Epstein so the world doesn't fall over with heart attacks from evidence. And next? Diddy was found not guilty in a corrupt system. Clean it up or we never get justice. Mainly. It's the operation.,0.5508,positive
Bitch can’t even let shit rhyme nothing sits well with y’all YT folks. Diddy is found not guilty on all counts so the shit you talk about has no ground Trump is guilty CH is guilty,-0.8652,negative
"and I don't mean those private parties, the ones where they think they're bad. I'm talking those who were P. Diddy. The AI says they are guilty, through consensus of multi-modal peer review in committee, along with fact checks from us regular humans. This is my check that will",-0.5574,negative
BL WRITERS ARE GUILTY BUT NOT DIDDY.....??,0.1556,positive
"j7""um so diddy flack?"" z0""half guilty or more like 2/5ths guilty.. um i don't think everyone thought that would happen. so he'll get some jail time.. can't bring up t'pac .. """,-0.4715,negative
"Furthermore, Horner was never proven guilty in that ""scandal"", Diddy was proven guilty multiple times for multiple reasons",-0.5216,negative
"Sean “Diddy” Combs was found guilty on two federal charges, prompting continued discussion around accountability in the entertainment industry. Read more here: news diddy seancombs cassie trial",-0.2732,negative
"Do you really want the mass arrests right now? Look at Diddy. If the courts weren't completely corrupted, Diddy would have been found guilty of racketeering. Instead, he will more than likely get off with time served. Do you really want these people to serve a few months in a",-0.5445,negative
U still cant pull up Diddy shit cause that Man just Got off on alot of those Charges! The only thing he was found guilty of is Flying Sex workers out to have sex and tbh all of those ppl were ADULTS not Children so i really Dont care!,-0.8999,negative
"No they don’t. It is not our job. You have to stand by the line you draw. You have made so many positive changes and in such a short time. However, you need to simultaneously arrest those guilty of fraud and corruption. Americans are upset about Diddy and Epstein.",-0.8369,negative
The beginning of the year if you remember was quite bumpy and we’re in July now and the world is talking about Epstein. Diddy practically got away off the most serious charges that we all KNOW he’s guilty for ... so it’s just like 🤷🏼‍♂️,-0.4602,negative
"I've seen this chart alot, I wonder who made it. Reminds me of all the celebrities, YouTubers, podcasters, Internet lawyers,...etc who for months were so sure Diddy was going to be found GUILTY on all charges. More hopium for you I guess. 🤗",0.0408,neutral
"Also are you gonna say his bestie Diddy is innocent cause he wasn’t found guilty? Long story short anyone in that group was a child diddler All articles say the child was 13, I’m sure that jay z wasn’t 12 when he was friends with diddy 👀 So stop lying to validate being a fan",0.3083,positive
This week we found out that both Diddy and Jeffery Epstein are innocent... But Ghislaine Maxwell is still GUILTY! 🤷‍♂️📉🚔,-0.6588,negative
I don’t understand how Diddy is guilty of prostitution... Isnt he a cuck? Nvm,-0.4215,negative
Diddy’s Twins D’Lila and Jessie Announce Clothing Line After Dad Found Not Guilty of Sex Trafficking,0.3252,positive
They said Diddys not guilty and Epstein killed himself in the same week. Trumps been paying everyone off because hes been to Diddy parties and Epsteins Island.,-0.12,negative
"Following an eight-week trial, music mogul Sean ‘Diddy’ Combs was found guilty last week on two counts of transportation to engage in prostitution and is scheduled to be sentenced on Thursday, October 3, 2025. FreenBecky ฟิตติ้งเสน่หาวาโย planecrash",-0.128,negative
diddy guilty of more. no matter rich or poor he is still guilty and a woman beater,-0.8989,negative
"Carrying cases to court isn't easy, it takes time, it takes money and sometimes the verdict depends on who is more connected and has more money Look at everything diddy did and they still didn't find him guilty on all counts",0.1346,positive
"Unfortunately, there is some truth to this. Diddy was guilty as sin of the more serious charges, but the jury only convicted on the lesser, gimme charges. Those who testified him now are nervous about him getting out of prison with the next couple of years, if not sooner.",-0.9323,negative
"Amazing Diddy still in jail, even after all heavy charges not guilty. You know they are just itching to get to him, like the killer in High Anxiety. Oh I can kill him, oh life is good, Cleesh. He got's Obama's legacy. What tangled webs we weave, when first we practice to deceive.",-0.6083,negative
"👍👍 But It's not just Bondi. It's also FBI Patel, Bongino &amp; CIA. Patel Bondi Bongino are protecting the CIA, covering up the horrific crimes our CIA is guilty of including using Epstein &amp; P Diddy to get blackmail on the elites Using children",-0.8957,negative
"Your supporters haven’t seen ONE arrest of any of the big players with successful guilty verdict, people like Soros, Clinton’s, Bush’s, Obama’s, Podesta brothers, Brennan, Comey, Shift, Epstien, Diddy, Pelosi/Jan6, all the gov&amp; HW pedos, they will all reamerge next POTUS",0.6808,positive
"Saying this when Diddy is looking at up to 20 years in prison for what he WAS convicted of is a little insane, sorry If you look at the case and not headlines, there was no way he was gonna get a guilty verdict from the most serious charge There was simply no evidence of it",-0.8984,negative
"Good. But Ashleigh, you were wrong about the Diddy case for months. You said he was guilty of racketeering &amp; RICO and last night EVEN AFTER THE jURY SAID NOT GUILTY you doubled down and badgered a juror. Just take the loss &amp; admit you were dumb &amp; didn't understand RICO.",-0.8515,negative
Sean “Diddy” Combs will be sentenced on October 3 after being found guilty on two counts of transportation to engage in prostitution. He faces a maximum of 20 years in jail.,-0.128,negative
"Diddy’s sentencing is set for Oct 3 after guilty verdict on prostitution charges. Acquitted of trafficking, he still faces up to 20 years — but will probably recieve less. DiddyVerdict",-0.2382,negative
They all protect each other when it's convenient for them and throw each other under the bus 🚌 when it's not. Let's see what Trump is really bout. 👀 Wonder why Diddy's charges were found not guilty (the major ones) 🤔...,0.4276,positive
Diddy Date for his Jail Sentence All Set. What Jail Time Will Judge Give Him &amp; WHY? Diddy NotGuilty Guilty Sentencing joeyjacksonesqOnYouTube thejoeyjacksonesqOnSubStack,-0.4767,negative
Literally the USA Government: Epstein‽ Never heard of him. Diddy? He’s just guilty of having a good time.,0.0258,neutral
"Oh, stfu! Your opinion is completely useless because you ignore facts/evidence &amp; just go with ""Believe all women!"" 🙄 *Wood &amp; Heard are liars. Pitt was accused but not proven guilty of anything. Strange flex bringing in politics. Cosby and Diddy are guilty. SOME WOMEN LIE!",-0.8546,negative
I listen to Megyn all the time but i feel that she is wrong on this. She also thought Diddy was going to be found guilty on all charges so........,-0.8885,negative
"Diddy found not guilty, Epstein killed himself and there was never a list, Girl stabs boyfriend and is granted bail. The villains have been having a good week neh! TF 😧 is my lameass doing holding the line for 🤔 nah! Villains team is popping",-0.7692,negative
"We just gonna ignore the fact that a few days before the recent Epstein files stuff, that Diddy got found not guilty? Sounds like a club sticking together . EpsteinClientList diddy",-0.3134,negative
Seems like Trump is because no men who actually raped a child is being outed or going to jail despite many payoffs to victims and explain if Epstein ain’t have clients why is ms Maxwell in prison ? Ijs if Diddy guilty of man act how not Trump one of the victims worked at Maralago,-0.9231,negative
This just in: Diddy not guilty.,0.3252,positive
"Diddy returned to federal prison after his trial, reportedly receiving a standing ovation from fellow inmates. Diddy was found not guilty of major charges like sex trafficking and racketeering but convicted on lesser chargers under the Mann Act. USA AI",-0.075,negative
Nah Diddy maybe rich but he isn’t part of the white political elite clubs .... which is why he was tried and found guilty. Don’t try to defend your pedos with whataboutery just because they belong to your tribe and you voted for them. No body voted for Diddy.,-0.6597,negative
"Don’t care, she never spoke up about Diddy because she’s guilty too!",0.1759,positive
"Wonder if the Jury was promised something from Diddy in return for a Not Guilty Verdict!! They should be checked up on months down the road to see if mortgages paid off (or big payments made), cars or fat bank accounts, big vacations etc show up!!",0.6763,positive
Same as with the Diddy case last time. Now he’s suddenly not guilty. Who’s pulling our noses?,0.3252,positive
"Yeah, I am tired of waiting. Comey should be in jail for his 8647 stunt. Diddy was guilty AF. Epstein had a list and was K!lled. Yet, we wait. It’s gotten old. There will be no justice. We are on to all of it and we are FURIOUS.",-0.9001,negative
That’s a visitors list that isn’t the blackmail list big difference. Why isn’t anyone screaming about the Diddy lists oh we know why politicians and Hollywood elites are above the law. You really want to know who’s on the list look who left the country that’s who’s guilty.,-0.5868,negative
The point is was she forced and every male escort says SHE WAS NOT CASSIE IS MORE GUILTY THAN DIDDY TBH 💯💯💯 And those escorts HAVE EVERY RIGHT to come forward and tell what really happened before Cassie start lying on💅🏾 We still in Amerikkka and Cassie is with a wm now and,-0.8992,negative
". exposed by Cuban Doll for being the female Diddy, alleges Queen Von told her Megan Thee Stallion was sex trafficking women internationally and having freak offs with them overseas. Megan, if you don’t take them to court like you did Milagro Gramz, you’re guilty.",-0.5423,negative
"""we have so much data"" ""utter bombshell"" ""deepstate and elites cooked!"" *later* ""there's nothing"" ""who cares about missing footage?"" ""client list? ""yup, killed himself"" ""she's in prison for trafficking nobody to nobody"" ""you still care about Epstein, nerd?"" ""diddy not guilty""",-0.8744,negative
I’ve been questioning this as well. Seems she’s a political prisoner. She did nothing more than what diddy was found guilty for. Just transporting models to the island. Nothing more nothing less it appears. Waiting for her appeal.,-0.6808,negative
Suspicious about client list. Suspicious about Diddy trial not guilty.,-0.3956,negative
"Sean ""Diddy"" Combs's sentencing hearing confirmed. Following his high-profile trial, the hip-hop mogul was found guilty of two counts of transportation for prostitution by jurors in Manhattan, New York, last week - but was cleared of sex-trafficking and racketeering conspiracy.",-0.7351,negative
wonder who is on the ClientList that it isnt out... how about guilty until proven innocent then? EpsteinCoverUp EpsteinClientList,-0.1027,negative
"If Diddy can be found guilty of providing transportation for the purposes of prostitution then SURELY someone, anyone - maybe or - could find SOMETHING to charge that motherfucker Trump with.",-0.5813,negative
Diddy’s Twin Daughters Launch Bold Clothing Line ’12Twinty1′ — Just Days After His ‘Not Guilty’ Verdict Diddy 12Twinty1 FashionLaunch TwinDaughters ViralVideo,0.4939,positive
Sure he will just like Epstein and Diddy? This is turning into a joke at this point. He's obviously guilty of crimes against humanity so what's the hold up? Just more grandstanding to appease the masses is what I'm seeing. Lots of barking with no results!,0.6144,positive
That's what I been saying people acting all crazy for that stupid ass files that won't show us what we already know. It's like the Diddy trial year he's found not guilty by having a smart lawyer however we all know he did those things in his mansion and hotel lol,0.0083,neutral
Iv got a sneaky suspicion that the only thing diddy is guilty of is actually purchasing the Epstein videos .... 😯😯💭💭,-0.743,negative
